recipe,resultItem,item,use,requiresCooked,spice,share0,kcal0,carbs0,lipids0,proteins0,share10,kcal10
AddBaitToChum,Base.Chum,Base.AmericanLadyCaterpillar,1,false,false,1.0,27.0,3.0,20.24,27.55,0.7,31.5
AddBaitToChum,Base.Chum,Base.Baguette,10,false,false,0.434783,231.304348,43.043478,2.895652,7.695652,0.304348,269.855072
AddBaitToChum,Base.Chum,Base.BaguetteDough,10,false,false,0.666667,354.666667,66.0,4.44,11.8,0.466667,413.777778
AddBaitToChum,Base.Chum,Base.BaitFish,5,false,false,1.0,30.0,0.0,1.5,8.52,0.7,35.0
AddBaitToChum,Base.Chum,Base.BandedWoolyBearCaterpillar,1,false,false,1.0,27.0,3.0,20.24,27.55,0.7,31.5
AddBaitToChum,Base.Chum,Base.Beef,20,false,false,0.25,110.0,0.0,4.675,15.655,0.175,128.333333
AddBaitToChum,Base.Chum,Base.Bread,10,false,false,0.333333,177.333333,33.0,2.22,5.9,0.233333,206.888889
AddBaitToChum,Base.Chum,Base.BreadDough,10,false,false,0.416667,221.666667,41.25,2.775,7.375,0.291667,258.611111
AddBaitToChum,Base.Chum,Base.CannedCornOpen,10,false,false,0.625,196.875,43.75,1.09375,4.375,0.4375,229.6875
AddBaitToChum,Base.Chum,Base.Centipede,1,false,false,1.0,60.0,3.5,6.5,15.21,0.7,70.0
AddBaitToChum,Base.Chum,Base.Centipede2,1,false,false,1.0,60.0,3.5,6.5,15.21,0.7,70.0
AddBaitToChum,Base.Chum,Base.Cheese,10,false,false,0.666667,75.333333,0.58,6.22,4.266667,0.466667,87.888889
AddBaitToChum,Base.Chum,Base.Cockroach,1,false,false,1.0,30.0,1.27,3.9,7.41,0.7,35.0
AddBaitToChum,Base.Chum,Base.Crayfish,10,false,false,1.0,40.0,0.0,2.0,8.0,0.7,46.666667
AddBaitToChum,Base.Chum,Base.Cricket,1,false,false,1.0,20.0,1.34,1.32,3.6,0.7,23.333333
AddBaitToChum,Base.Chum,Base.DogfoodOpen,30,false,false,1.0,498.0,77.56,12.58,16.04,0.7,581.0
AddBaitToChum,Base.Chum,Base.Dough,10,false,false,0.666667,354.666667,66.0,4.44,11.8,0.466667,413.777778
AddBaitToChum,Base.Chum,Base.FishFillet,25,false,false,1.0,205.0,1.0,12.0,28.52,0.7,239.166667
AddBaitToChum,Base.Chum,Base.FishGuts,5,false,false,1.0,0.0,0.0,0.0,0.0,0.7,0.0
AddBaitToChum,Base.Chum,Base.FrogMeat,8,false,false,0.8,52.8,0.0,0.224,11.68,0.56,61.6
AddBaitToChum,Base.Chum,Base.Grasshopper,1,false,false,1.0,25.0,3.0,0.24,5.55,0.7,29.166667
AddBaitToChum,Base.Chum,Base.Leech,2,false,false,1.0,90.0,2.11,1.9,17.41,0.7,105.0
AddBaitToChum,Base.Chum,Base.Maggots,1,false,false,1.0,1.5,0.0,0.05,0.25,0.7,1.75
AddBaitToChum,Base.Chum,Base.MeatPatty,30,false,false,0.75,459.0,0.0,22.5,34.5,0.525,535.5
AddBaitToChum,Base.Chum,Base.Millipede,1,false,false,1.0,60.0,3.5,6.5,15.21,0.7,70.0
AddBaitToChum,Base.Chum,Base.Millipede2,1,false,false,1.0,60.0,3.5,6.5,15.21,0.7,70.0
AddBaitToChum,Base.Chum,Base.MonarchCaterpillar,1,false,false,1.0,27.0,3.0,20.24,27.55,0.7,31.5
AddBaitToChum,Base.Chum,Base.Pillbug,1,false,false,1.0,1.5,0.0,0.05,0.25,0.7,1.75
AddBaitToChum,Base.Chum,Base.SawflyLarva,1,false,false,1.0,27.0,3.0,20.24,27.55,0.7,31.5
AddBaitToChum,Base.Chum,Base.Shrimp,10,false,false,1.0,80.0,0.0,7.0,10.0,0.7,93.333333
AddBaitToChum,Base.Chum,Base.SilkMothCaterpillar,1,false,false,1.0,27.0,3.0,20.24,27.55,0.7,31.5
AddBaitToChum,Base.Chum,Base.Slug,1,false,false,1.0,90.0,2.11,1.9,17.41,0.7,105.0
AddBaitToChum,Base.Chum,Base.Slug2,1,false,false,1.0,90.0,2.11,1.9,17.41,0.7,105.0
AddBaitToChum,Base.Chum,Base.Smallanimalmeat,15,false,false,1.0,201.0,5.0,7.25,45.0,0.7,234.5
AddBaitToChum,Base.Chum,Base.Smallbirdmeat,15,false,false,1.0,261.0,5.0,8.25,90.0,0.7,304.5
AddBaitToChum,Base.Chum,Base.Snail,1,false,false,1.0,90.0,2.11,1.9,17.41,0.7,105.0
AddBaitToChum,Base.Chum,Base.Steak,20,false,false,0.5,110.0,0.0,4.675,15.81,0.35,128.333333
AddBaitToChum,Base.Chum,Base.SwallowtailCaterpillar,1,false,false,1.0,27.0,3.0,20.24,27.55,0.7,31.5
AddBaitToChum,Base.Chum,Base.Tadpole,2,false,false,1.0,90.0,2.11,1.9,17.41,0.7,105.0
AddBaitToChum,Base.Chum,Base.Termites,1,false,false,1.0,2.5,0.0,0.5,0.5,0.7,2.916667
AddBaitToChum,Base.Chum,Base.Venison,20,false,false,0.25,110.0,0.0,4.675,15.655,0.175,128.333333
AddBaitToChum,Base.Chum,Base.Worm,1,false,false,1.0,3.0,0.0,0.1,0.5,0.7,3.5
BagelPlain,Base.BagelPlain,Base.Avocado,8,false,false,0.5,113.5,5.875,10.48,1.335,0.35,132.416667
BagelPlain,Base.BagelPlain,Base.Bacon,4,true,false,0.333333,53.333333,0.0,4.666667,3.333333,0.233333,62.222222
BagelPlain,Base.BagelPlain,Base.BaconBits,1,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BagelPlain,Base.BagelPlain,Base.BaconRashers,4,true,false,1.0,40.0,0.0,3.5,2.5,0.7,46.666667
BagelPlain,Base.BagelPlain,Base.BeanBowl,8,false,false,0.333333,56.666667,11.0,0.333333,2.333333,0.233333,66.111111
BagelPlain,Base.BagelPlain,Base.Butter,4,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0
