id,module,name,kind,display_name,display_category,food_type,item_type,tags,nutrition_source,calories,carbohydrates,lipids,proteins,hunger_change,thirst_change,days_fresh,days_totally_rotten,cant_be_frozen,is_cookable,minutes_to_cook,minutes_to_burn,dangerous_uncooked,packaged,canned_food,cant_eat,spice,good_hot,bad_cold,unhappy_change,boredom_change,stress_change,fatigue_change,endurance_change,food_sickness_change,poison_power,alcohol_power,evolved_recipe,evolved_recipe_name,replace_on_cooked,replace_on_rotten,replace_on_use,on_cooked,on_eat,fluid_capacity,fluid_ids,weight,replace_on_deplete,source_file,source_line
Base.Acorn,Base,Acorn,food,Acorn,Food,Nut,base:food,,food_keys,55.0,12.0,24.0,6.0,-10.0,,180,365,,true,10,30,,,,,,,,10,,,,,,,,Soup:10;Bread:10,,,,,,,,,0.1,,items/food.txt,7700
Base.AlcoholWipes,Base,AlcoholWipes,drainable,Alcohol Wipes,FirstAid,,base:drainable,,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,0.3,,items/drainable.txt,1506
Base.AlcoholedCottonBalls,Base,AlcoholedCottonBalls,drainable,Cotton Balls Doused in Alcohol,FirstAid,,base:drainable,,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,0.1,,items/drainable.txt,1491
Base.AligatorGar,Base,AligatorGar,food,Alligator Gar,Food,,base:food,base:fishmeat;base:uncutfish,food_keys,159.0,1.0,1.0,35.0,-15.0,,4,8,,true,20,60,true,,,,,true,true,20,,,,,,,,,,,,,,,,,0.4,,items/food.txt,7620
Base.Allsorts,Base,Allsorts,food,Licorice Allsorts,Food,Candy,base:food,,food_keys,16.6,4.33,0.0,0.0,-10.0,,,,,,,,,,,,,,,-10,,,,,,,,ConeIcecream:5,,,,,,,,,0.2,,items/food.txt,11889
Base.AmericanLadyCaterpillar,Base,AmericanLadyCaterpillar,food,Caterpillar,Food,Insect,base:food,base:nocookingxp,food_keys,27.0,3.0,20.24,27.55,-1.0,,14,21,,true,5,25,,,,,,,,20,,,,,,,,AddBaitToChum:1,,,,,,,,,0.1,,items/food.txt,8113
Base.AnimalFeedBag,Base,AnimalFeedBag,drainable,Animal Feed Bag,Gardening,,base:drainable,base:farmingloot,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Base.EmptySandbag,items/drainable.txt,210
Base.AnimalMilkPowder,Base,AnimalMilkPowder,drainable,Milk Powder,Food,,base:drainable,base:farmingloot,food_keys,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,1.3,,items/drainable.txt,197
Base.Animal_Brain,Base,Animal_Brain,food,Animal Brain,AnimalPart,,base:food,base:animalbrain,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/food.txt,652
Base.Animal_Brain_Small,Base,Animal_Brain_Small,food,Small Animal Brain,AnimalPart,,base:food,base:animalbrain,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/food.txt,662
Base.Antibiotics,Base,Antibiotics,food,Antibiotics,FirstAid,,base:food,,food_keys,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/food.txt,15211
Base.Apple,Base,Apple,food,Apple,Food,Fruits,base:food,,food_keys,95.0,25.13,0.31,0.47,-16.0,-7.0,5,8,,,,,,,,,,,,,,,,,,,,Cake:16;FruitSalad:8;Pancakes:8;Muffin:8;PieSweet:16;Oatmeal:4;Salad:8,,,,,,,,,0.2,,items/food.txt,8658
Base.Avocado,Base,Avocado,food,Avocado,Food,Vegetables,base:food,base:hideuncooked,food_keys,227.0,11.75,20.96,2.67,-16.0,-7.0,6,14,,true,20,40,,,,,,true,,,,,,,,,,Omelette:8;Soup:16;Stew:16;Pie:16;Stir fry:16;Sandwich:8;Salad:16;Rice:16;Pasta:16;Taco:8;Burrito:8;Toast:8,,,,,,,,,0.3,,items/food.txt,14025
Base.BBQSauce,Base,BBQSauce,food,Barbecue Sauce,Food,NoExplicit,base:food,,food_keys,980.0,252.0,0.0,0.0,-20.0,,,,true,,,,,true,,,true,,,30,,,,,,,,Sandwich:2;Burger:2;Rice:2;Pasta:2;Taco:2;Burrito:2,,,,,,,,,0.2,,items/food.txt,11623
Base.BBQStarterFluid,Base,BBQStarterFluid,drainable,Barbecue Starter Fluid,Household,,base:drainable,base:hasmetal,food_keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,items/drainable.txt,700
Base.Bacon,Base,Bacon,food,Bacon,Food,Bacon,base:food,,food_keys,160.0,0.0,14.0,10.0,-12.0,,3,5,,true,20,50,true,true,,,,true,true,,,,,,,,,Pizza:12;Stew:12;Pie:12;Stir fry:12;Sandwich:4|Cooked;Burger:4|Cooked;Hotdog:4|Cooked;Rice:12;Pasta:12;Taco:4|Cooked;Burrito:4|Cooked;Toast:4|Cooked,Bacon,,,,,,,,0.3,,items/food.txt,170
Base.BaconBits,Base,BaconBits,food,Bacon Bits,Food,Bacon,base:food,,food_keys,10.0,0.0,0.875,0.6125,-1.0,,3,5,,true,15,30,true,,,,true,true,true,,,,,,,,,Pizza:1;Omelette:1;Stew:1;Pie:1;Stir fry:1;Sandwich:1|Cooked;Burger:1|Cooked;Hotdog:1|Cooked;Salad:1|Cooked;Rice:1;Pasta:1;Taco:1|Cooked;Burrito:1|Cooked;Toast:1|Cooked,Bacon Bits,,,,,,,,0.025,,items/food.txt,225
Base.BaconRashers,Base,BaconRashers,food,Bacon Strip,Food,Bacon,base:food,,food_keys,40.0,0.0,3.5,2.5,-4.0,,3,5,,true,15,35,true,,,,,true,true,,,,,,,,,Pizza:4;Omelette:4;Stew:4;Pie:4;Stir fry:4;Sandwich:4|Cooked;Burger:4|Cooked;Hotdog:4|Cooked;Salad:4|Cooked;Taco:4|Cooked;Burrito:4|Cooked;Toast:4|Cooked,Bacon,,,,,,,,0.1,,items/food.txt,198
Base.Bag_HydrationBackpack,Base,Bag_HydrationBackpack,fluid_container,Hydration Pack,Bag,,base:container,base:ignorezombiedensity,fluid:Water,,,,,,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Water,1.0,,items/container.txt,5975
Base.Bag_HydrationBackpack_Camo,Base,Bag_HydrationBackpack_Camo,fluid_container,Hydration Pack,Bag,,base:container,base:ignorezombiedensity,fluid:Water,,,,,,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Water,1.0,,items/container.txt,6011
Base.Bag_LeatherWaterBag,Base,Bag_LeatherWaterBag,fluid_container,Leather Water Bag,WaterContainer,,base:clothing,,fluid:Water,,,,,,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Water,0.3,,items/clothing.txt,24482
Base.BagelPlain,Base,BagelPlain,food,Bagel,Food,,base:food,base:fitstoaster;base:toastable;base:hideuncooked,food_keys,177.0,33.0,2.22,5.9,-10.0,,1,6,,true,5,10,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/food.txt,5483
Base.BagelPoppy,Base,BagelPoppy,food,Poppy Bagel,Food,,base:food,base:fitstoaster;base:toastable;base:hideuncooked,food_keys,177.0,33.0,2.22,5.9,-10.0,,1,6,,true,5,10,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/food.txt,5505
Base.BagelSesame,Base,BagelSesame,food,Sesame Bagel,Food,,base:food,base:fitstoaster;base:toastable;base:hideuncooked,food_keys,177.0,33.0,2.22,5.9,-10.0,,1,6,,true,5,10,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,items/food.txt,5527
