name,module,category,time,timedAction,tags,skillRequired,xpAward,needToBeLearn,autoLearnAll,autoLearnAny,allowBatchCraft,metaRecipe,onCreate,tooltip,inputTypes,inputTags,inputFluids,inputCount,outputTypes,itemMappers,fluidIO,split,datasetTypes,foodItemTypes,deltaCalories,deltaCarbohydrates,deltaLipids,deltaProteins,deltaHungerChange,deltaThirstChange,deltaAbsentMacros,deltaReason,inputsRaw,outputsRaw,sourceFile,sourceLine
AddACigarette,Base,Miscellaneous,25,AddCigarette,InHandCraft;CanBeDoneInDark,,,,,,,,RecipeCodeOnCreate.addToPack,,Base.CigarettePack;Base.CigaretteSingle,,,2,,,false,false,Base.CigarettePack;Base.CigaretteSingle,Base.CigarettePack;Base.CigaretteSingle,,,,,,,,no-outputs,item 1 [Base.CigaretteSingle] flags[AllowFavorite;InheritFavorite] | item 1 [Base.CigarettePack] mode:keep flags[AllowFavorite;InheritFavorite],,recipes/recipes_packing.txt,711
AddCraftedTriggerToBomb,Base,Electrical,80,MakingElectrical,AnySurfaceCraft,Electricity:2,Electricity:6,true,,Electricity:8,,,,,Base.Aerosolbomb;Base.DuctTape;Base.ElectronicsScrap;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb;Base.TriggerCrafted,,,4,Base.AerosolbombRemote;Base.FlameTrapRemote;Base.NoiseTrapRemote;Base.PipeBombRemote;Base.SmokeBombRemote,bobOmb,false,false,Base.DuctTape,Base.DuctTape,,,,,,,,multi-type: item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] ; not-in-dataset: item 1 [Base.TriggerCrafted] ; not-in-dataset: item 2 [Base.ElectronicsScrap] ; no-nutrition: item 1 [Base.DuctTape] ; multi-type: item 1 mapper:bobOmb,item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] | item 1 [Base.TriggerCrafted] | item 2 [Base.ElectronicsScrap] | item 1 [Base.DuctTape],item 1 mapper:bobOmb,recipes/recipes_traps.txt,246
AddMotionSensorV1ToBomb,Base,Electrical,80,MakingElectrical,AnySurfaceCraft,Electricity:2,Electricity:6,true,,Electricity:8,,,,,Base.Aerosolbomb;Base.DuctTape;Base.ElectronicsScrap;Base.FlameTrap;Base.MotionSensor;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb,,,4,Base.AerosolbombSensorV1;Base.FlameTrapSensorV1;Base.NoiseTrapSensorV1;Base.PipeBombSensorV1;Base.SmokeBombSensorV1,bobOmb,false,false,Base.DuctTape,Base.DuctTape,,,,,,,,multi-type: item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] ; not-in-dataset: item 1 [Base.MotionSensor] ; not-in-dataset: item 2 [Base.ElectronicsScrap] ; no-nutrition: item 1 [Base.DuctTape] ; multi-type: item 1 mapper:bobOmb,item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] | item 1 [Base.MotionSensor] | item 2 [Base.ElectronicsScrap] | item 1 [Base.DuctTape],item 1 mapper:bobOmb,recipes/recipes_traps.txt,153
AddMotionSensorV2ToBomb,Base,Electrical,80,MakingElectrical,AnySurfaceCraft,Electricity:4,Electricity:10,true,,Electricity:9,,,,,Base.Aerosolbomb;Base.DuctTape;Base.ElectronicsScrap;Base.FlameTrap;Base.MotionSensor;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb,,,4,Base.AerosolbombSensorV2;Base.FlameTrapSensorV2;Base.NoiseTrapSensorV2;Base.PipeBombSensorV2;Base.SmokeBombSensorV2,bobOmb,false,false,Base.DuctTape,Base.DuctTape,,,,,,,,multi-type: item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] ; not-in-dataset: item 1 [Base.MotionSensor] ; not-in-dataset: item 3 [Base.ElectronicsScrap] ; no-nutrition: item 1 [Base.DuctTape] ; multi-type: item 1 mapper:bobOmb,item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] | item 1 [Base.MotionSensor] | item 3 [Base.ElectronicsScrap] | item 1 [Base.DuctTape],item 1 mapper:bobOmb,recipes/recipes_traps.txt,184
AddMotionSensorV3ToBomb,Base,Electrical,80,MakingElectrical,AnySurfaceCraft,Electricity:6,Electricity:14,true,,Electricity:10,,,,,Base.Aerosolbomb;Base.DuctTape;Base.ElectronicsScrap;Base.FlameTrap;Base.MotionSensor;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb,,,4,Base.AerosolbombSensorV3;Base.FlameTrapSensorV3;Base.NoiseTrapSensorV3;Base.PipeBombSensorV3;Base.SmokeBombSensorV3,bobOmb,false,false,Base.DuctTape,Base.DuctTape,,,,,,,,multi-type: item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] ; not-in-dataset: item 1 [Base.MotionSensor] ; not-in-dataset: item 4 [Base.ElectronicsScrap] ; no-nutrition: item 1 [Base.DuctTape] ; multi-type: item 1 mapper:bobOmb,item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] | item 1 [Base.MotionSensor] | item 4 [Base.ElectronicsScrap] | item 1 [Base.DuctTape],item 1 mapper:bobOmb,recipes/recipes_traps.txt,215
AddTimerToBomb,Base,Electrical,80,MakingElectrical,AnySurfaceCraft,,Electricity:2,true,,Electricity:8,,,,,Base.Aerosolbomb;Base.DuctTape;Base.ElectronicsScrap;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb;Base.TimerCrafted,,,4,Base.AerosolbombTriggered;Base.FlameTrapTriggered;Base.NoiseTrapTriggered;Base.PipeBombTriggered;Base.SmokeBombTriggered,bobOmb,false,false,Base.DuctTape,Base.DuctTape,,,,,,,,multi-type: item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] ; not-in-dataset: item 1 [Base.TimerCrafted] ; not-in-dataset: item 2 [Base.ElectronicsScrap] ; no-nutrition: item 1 [Base.DuctTape] ; multi-type: item 1 mapper:bobOmb,item 1 [Base.Aerosolbomb;Base.FlameTrap;Base.NoiseTrap;Base.PipeBomb;Base.SmokeBomb] mappers[bobOmb] | item 1 [Base.TimerCrafted] | item 2 [Base.ElectronicsScrap] | item 1 [Base.DuctTape],item 1 mapper:bobOmb,recipes/recipes_traps.txt,123
AssembleAdvancedFramepack,Base,Tailoring,200,SewingCloth,AnySurfaceCraft,Tailoring:6,Tailoring:75,true,,,false,,,,Base.LeatherStrips;Base.PackFrame,base:awl;base:heavythread;base:leathercrudetannedlarge;base:scissors;base:sewingneedle;base:sharpknife,,7,Base.Bag_CraftedFramepack_Large2,,false,false,,,,,,,,,,tags-only: item 1 tags[base:leathercrudetannedlarge] ; tags-only: item 4 tags[base:heavythread] ; not-in-dataset: item 6 [Base.LeatherStrips] flags[DontReplace] ; not-in-dataset: item 1 [Base.PackFrame] ; not-in-dataset: item 1 Base.Bag_CraftedFramepack_Large2,item 1 tags[base:scissors;base:sharpknife] mode:keep flags[IsNotDull;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 tags[base:awl] mode:keep flags[MayDegradeLight] | item 1 tags[base:leathercrudetannedlarge] | item 4 tags[base:heavythread] | item 6 [Base.LeatherStrips] flags[DontReplace] | item 1 [Base.PackFrame],item 1 Base.Bag_CraftedFramepack_Large2,recipes/recipes_tailoring_leatherAndHide.txt,535
AssembleAdvancedLargeFramepack,Base,Tailoring,200,SewingCloth,AnySurfaceCraft,Tailoring:7,Tailoring:90,true,,,false,base:assembleadvancedframepack,,,Base.LeatherStrips;Base.PackFrameLarge,base:awl;base:heavythread;base:leathercrudetannedlarge;base:scissors;base:sewingneedle,,7,Base.Bag_CraftedFramepack_Large3,,false,false,,,,,,,,,,tags-only: item 2 tags[base:leathercrudetannedlarge] ; tags-only: item 8 tags[base:heavythread] ; not-in-dataset: item 8 [Base.LeatherStrips] flags[DontReplace] ; not-in-dataset: item 1 [Base.PackFrameLarge] ; not-in-dataset: item 1 Base.Bag_CraftedFramepack_Large3,item 1 tags[base:scissors] mode:keep flags[IsNotDull;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 tags[base:awl] mode:keep flags[MayDegradeLight] | item 2 tags[base:leathercrudetannedlarge] | item 8 tags[base:heavythread] | item 8 [Base.LeatherStrips] flags[DontReplace] | item 1 [Base.PackFrameLarge],item 1 Base.Bag_CraftedFramepack_Large3,recipes/recipes_tailoring_leatherAndHide.txt,561
AssembleBlade,Base,Assembly,100,CraftWeapon1H,AnySurfaceCraft,Maintenance:1,Maintenance:1,,,,,,,,Base.CrudeShortSwordBlade;Base.CrudeSwordBlade;Base.CrudeSwordBlade_Broken;Base.HandScytheBlade;Base.HuntingKnifeBlade;Base.KitchenKnifeBlade;Base.LargeKnifeBlade;Base.MacheteBlade;Base.MeatCleaverBlade;Base.ShortSwordBlade;Base.SmallHandle;Base.SwordBlade;Base.SwordBlade_Broken,base:clubhammer;base:hammer;base:mallet,,3,Base.CrudeShortSword;Base.CrudeSword;Base.CrudeSword_Broken;Base.HandScytheForged;Base.HuntingKnifeForged;Base.KitchenKnifeForged;Base.LargeKnife;Base.MacheteForged;Base.MeatCleaverForged;Base.ShortSword;Base.Sword;Base.Sword_Broken,ThingMapper,false,false,,,,,,,,,,multi-type: item 1 [Base.HuntingKnifeBlade;Base.CrudeShortSwordBlade;Base.CrudeSwordBlade;Base.CrudeSwordBlade_Broken;Base.HandScytheBlade;Base.KitchenKnifeBlade;Base.LargeKnifeBlade;Base.MacheteBlade;Base.MeatCleaverBlade;Base.SwordBlade;Base.SwordBlade_Broken;Base.ShortSwordBlade] flags[Prop2;InheritCondition;InheritSharpness] mappers[ThingMapper] ; not-in-dataset: item 1 [Base.SmallHandle] ; multi-type: item 1 mapper:ThingMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1;MayDegradeLight] | item 1 [Base.HuntingKnifeBlade;Base.CrudeShortSwordBlade;Base.CrudeSwordBlade;Base.CrudeSwordBlade_Broken;Base.HandScytheBlade;Base.KitchenKnifeBlade;Base.LargeKnifeBlade;Base.MacheteBlade;Base.MeatCleaverBlade;Base.SwordBlade;Base.SwordBlade_Broken;Base.ShortSwordBlade] flags[Prop2;InheritCondition;InheritSharpness] mappers[ThingMapper] | item 1 [Base.SmallHandle],item 1 mapper:ThingMapper,recipes/recipes_assembly.txt,3
AssembleLargeFramepack,Base,Tailoring,200,SewingCloth,AnySurfaceCraft,Tailoring:5,Tailoring:55,true,,,false,,,,Base.DenimStrips;Base.DuctTape;Base.LeatherStrips;Base.RippedSheets;Base.Rope;Base.Twine;Base.WoodenStick2,base:awl;base:heavythread;base:leathercrudetannedlarge;base:leatherfurtannedlarge;base:scissors;base:sewingneedle;base:sharpknife,,8,Base.Bag_CraftedFramepack_Large,,false,false,Base.DuctTape;Base.Twine,Base.DuctTape;Base.Twine,,,,,,,,tags-only: item 1 tags[base:leathercrudetannedlarge;base:leatherfurtannedlarge] ; tags-only: item 4 tags[base:heavythread] ; multi-type: item 2 [Base.LeatherStrips;Base.Rope] mode:destroy ; multi-type: item 3 [Base.Twine;Base.RippedSheets;Base.DenimStrips;Base.LeatherStrips;5:Base.DuctTape;2:Base.Rope] flags[DontReplace] ; not-in-dataset: item 5 [Base.WoodenStick2] ; not-in-dataset: item 1 Base.Bag_CraftedFramepack_Large,item 1 tags[base:scissors;base:sharpknife] mode:keep flags[IsNotDull;MayDegradeLight] | item 1 tags[base:sewingneedle] mode:keep flags[MayDegradeLight] | item 1 tags[base:awl] mode:keep flags[MayDegradeLight] | item 1 tags[base:leathercrudetannedlarge;base:leatherfurtannedlarge] | item 4 tags[base:heavythread] | item 2 [Base.LeatherStrips;Base.Rope] mode:destroy | item 3 [Base.Twine;Base.RippedSheets;Base.DenimStrips;Base.LeatherStrips;5:Base.DuctTape;2:Base.Rope] flags[DontReplace] | item 5 [Base.WoodenStick2],item 1 Base.Bag_CraftedFramepack_Large,recipes/recipes_tailoring_leatherAndHide.txt,508
